35172,5.4648,5.5,5.5,5.5625,5.6875,5.8125,6.155,6.365,6.525,6.635,6.815,6.965,7.14,7.24,7.24
35179,5.4375,5.4688,5.4805,5.5508,5.6719,5.7969,6.145,6.335,6.515,6.635,6.815,6.995,7.17,7.27,7.23
35186,5.4375,5.4688,5.5,5.5977,5.75,5.8789,6.23,6.45,6.6,6.72,6.89,7.09,7.27,7.37,7.3
35193,5.4375,5.4805,5.5,5.6289,5.8125,5.9805,6.38,6.61,6.79,6.9,7.08,7.28,7.36,7.42,7.38
35200,5.418,5.4414,5.4805,5.5625,5.7344,5.8516,6.19,6.4,6.56,6.68,6.86,7.06,7.22,7.27,7.27
35207,5.4375,5.4531,5.4922,5.582,5.75,5.8828,6.21,6.43,6.57,6.68,6.86,7.05,7.19,7.25,7.22
35214,5.4297,5.4414,5.4805,5.5859,5.75,5.8789,6.23,6.45,6.59,6.7,6.88,7.05,7.32,7.4,7.35
35221,5.457,5.5,5.5352,5.6875,5.875,6.0625,6.44,6.67,6.8,6.91,7.06,7.23,7.36,7.41,7.37
35228,5.4805,5.543,5.6094,5.793,6.0117,6.1992,6.59,6.8,6.95,7.07,7.21,7.37,7.59,7.65,7.6
35235,5.4375,5.5,5.5625,5.75,5.9727,6.1484,6.5,6.71,6.86,6.98,7.13,7.3,7.48,7.55,7.5
35242,5.4922,5.5039,5.5703,5.7656,5.9844,6.168,6.52,6.705,6.84,6.94,7.1,7.27,7.44,7.47,7.41
35249,5.5,5.5352,5.5977,5.7969,5.9492,6.1172,6.43,6.62,6.71,6.84,7,7.17,7.28,7.35,7.3
35256,5.5,5.6055,5.6875,5.9141,6.1055,6.2852,6.545,6.725,6.89,6.985,7.145,7.325,7.48,7.52,7.48
35263,5.4688,5.5625,5.6602,5.8555,6,6.168,6.425,6.625,6.79,6.885,7.035,7.205,7.33,7.39,7.39
35270,5.4375,5.543,5.625,5.8242,5.9766,6.125,6.455,6.635,6.8,6.885,7.025,7.215,7.37,7.43,7.39
35277,5.4648,5.5898,5.6758,5.8828,6.0352,6.2188,6.415,6.585,6.725,6.815,6.985,7.145,7.29,7.33,7.33
35284,5.4297,5.4961,5.5391,5.6875,5.7812,5.8828,6.125,6.325,6.455,6.545,6.715,6.895,7.04,7.1,7.13
35291,5.418,5.4688,5.5,5.6875,5.7852,5.8945,6.125,6.325,6.465,6.565,6.735,6.895,7.06,7.12,7.16
35298,5.4141,5.4766,5.5,5.6797,5.7773,5.8867,6.155,6.355,6.515,6.625,6.795,6.965,7.12,7.18,7.22
35305,5.4062,5.4727,5.5312,5.7266,5.875,6.0117,6.365,6.535,6.715,6.825,6.975,7.145,7.3,7.37,7.37
35312,5.4727,5.5625,5.6367,5.875,6.0625,6.2461,6.575,6.765,6.905,7.005,7.155,7.295,7.45,7.5,7.5
35319,5.5039,5.5625,5.625,5.8789,6.0625,6.2188,6.505,6.695,6.835,6.945,7.095,7.265,7.42,7.48,7.5
35326,5.4805,5.5625,5.625,5.8164,5.9805,6.125,6.395,6.595,6.745,6.845,7.005,7.155,7.33,7.38,7.39
35333,5.4453,5.5,5.5625,5.75,5.8828,6.0391,6.265,6.455,6.595,6.705,6.875,7.035,7.17,7.22,7.28
35340,5.4336,5.4883,5.625,5.7266,5.8398,5.9453,6.165,6.355,6.505,6.605,6.775,6.945,7.08,7.14,7.19
35347,5.3828,5.4375,5.5312,5.625,5.7227,5.8125,6.115,6.305,6.435,6.575,6.715,6.905,7.04,7.11,7.18
